cyp2c19,cyp2d6,cyp3a4,cyp1a2,cyp2c9,CID,SID
0.0,,0.0,0.0,,6602638.0,842238.0
,,1.0,1.0,,644510.0,842250.0
,0.0,,1.0,1.0,1960010.0,842319.0
1.0,0.0,1.0,1.0,,644675.0,842408.0
1.0,,,1.0,,644851.0,842584.0
1.0,,1.0,,1.0,644890.0,842618.0
1.0,,,1.0,,644968.0,842697.0
0.0,0.0,0.0,,,645063.0,842789.0
0.0,0.0,,,0.0,645164.0,842891.0
1.0,,0.0,1.0,,6602688.0,842953.0
,,0.0,0.0,0.0,5768708.0,842968.0
1.0,,,,,645323.0,843048.0
,0.0,0.0,,,645448.0,843170.0
0.0,0.0,0.0,,,645569.0,843289.0
,0.0,1.0,1.0,,645573.0,843293.0
1.0,0.0,,,,645575.0,843295.0
1.0,,1.0,0.0,,645578.0,843298.0
,0.0,0.0,,,5721248.0,843422.0
1.0,1.0,,1.0,,645818.0,843526.0
1.0,0.0,,,,645911.0,843611.0
0.0,,1.0,0.0,0.0,645929.0,843632.0
1.0,,,,,645965.0,843662.0
1.0,0.0,,1.0,,6398898.0,843808.0
1.0,,,1.0,1.0,646118.0,843813.0
1.0,0.0,0.0,1.0,,646164.0,843859.0
,0.0,1.0,1.0,1.0,646293.0,843987.0
1.0,,,,0.0,646345.0,844035.0
,0.0,,,,646352.0,844042.0
1.0,0.0,0.0,0.0,0.0,646353.0,844043.0
1.0,1.0,1.0,,1.0,646395.0,844085.0
1.0,,,1.0,1.0,646427.0,844118.0
,0.0,,,,646472.0,844156.0
0.0,0.0,0.0,0.0,0.0,646515.0,844203.0
1.0,0.0,0.0,1.0,,646597.0,844275.0
0.0,0.0,0.0,,0.0,6602690.0,844373.0
0.0,0.0,0.0,0.0,,646768.0,844442.0
1.0,0.0,,0.0,,646780.0,844455.0
1.0,0.0,0.0,0.0,1.0,646897.0,844570.0
0.0,0.0,0.0,,,646955.0,844622.0
,0.0,,,,6398903.0,844690.0
1.0,0.0,,1.0,,647114.0,844782.0
1.0,,,1.0,1.0,647166.0,844835.0
1.0,,,0.0,1.0,647205.0,844873.0
0.0,,,,0.0,647262.0,844932.0
1.0,1.0,1.0,1.0,,647302.0,844963.0
0.0,0.0,0.0,,0.0,647430.0,845093.0
,0.0,0.0,0.0,0.0,647498.0,845164.0
1.0,,1.0,1.0,,647585.0,845245.0
0.0,,0.0,1.0,,647727.0,845384.0
1.0,0.0,,,1.0,647748.0,845406.0
1.0,1.0,,,,6602522.0,845417.0
1.0,0.0,,,1.0,647933.0,845577.0
,0.0,0.0,0.0,0.0,647937.0,845581.0
1.0,0.0,0.0,0.0,1.0,647987.0,845632.0
0.0,0.0,,1.0,,647996.0,845641.0
1.0,,1.0,1.0,,648007.0,845652.0
,0.0,1.0,,1.0,648068.0,845706.0
,0.0,1.0,0.0,,648175.0,845813.0
,0.0,0.0,1.0,,648218.0,845859.0
,0.0,1.0,,1.0,648236.0,845879.0
,0.0,,0.0,1.0,648282.0,845912.0
0.0,0.0,0.0,1.0,0.0,648407.0,846035.0
1.0,0.0,0.0,1.0,1.0,648428.0,846056.0
0.0,0.0,,1.0,,648481.0,846109.0
1.0,,,1.0,1.0,6602523.0,846135.0
0.0,0.0,0.0,1.0,1.0,648537.0,846155.0
0.0,,0.0,1.0,,5769011.0,846175.0
,,0.0,0.0,0.0,648642.0,846256.0
1.0,,,1.0,,648672.0,846286.0
0.0,0.0,,0.0,,648708.0,846322.0
0.0,0.0,0.0,0.0,0.0,648768.0,846376.0
1.0,,,,,648771.0,846379.0
,0.0,,0.0,,648836.0,846448.0
1.0,0.0,1.0,1.0,1.0,648878.0,846490.0
0.0,0.0,0.0,0.0,0.0,648947.0,846555.0
1.0,1.0,1.0,1.0,1.0,649015.0,846619.0
1.0,0.0,,1.0,,649054.0,846659.0
,0.0,,,0.0,649153.0,846760.0
1.0,0.0,1.0,,,649165.0,846772.0
0.0,,0.0,0.0,0.0,2859713.0,846847.0
1.0,0.0,,0.0,1.0,649283.0,846890.0
0.0,0.0,0.0,,,5768894.0,847033.0
1.0,0.0,1.0,,,649453.0,847058.0
1.0,0.0,0.0,1.0,1.0,649650.0,847251.0
1.0,1.0,1.0,,,649754.0,847355.0
0.0,0.0,,0.0,0.0,649786.0,847391.0
0.0,0.0,0.0,0.0,0.0,649878.0,847473.0
1.0,,1.0,1.0,1.0,649949.0,847542.0
0.0,0.0,0.0,0.0,,650002.0,847598.0
1.0,,,1.0,1.0,6398918.0,847614.0
1.0,0.0,,,,650023.0,847619.0
1.0,,1.0,,1.0,135439099.0,847676.0
1.0,0.0,1.0,1.0,1.0,650100.0,847691.0
1.0,,0.0,,1.0,6602529.0,847772.0
1.0,0.0,,,1.0,650250.0,847836.0
1.0,0.0,1.0,,0.0,650341.0,847923.0
,0.0,,1.0,,650434.0,848009.0
1.0,0.0,,,,650486.0,848062.0
1.0,0.0,1.0,1.0,,650558.0,848129.0
,0.0,0.0,0.0,1.0,650691.0,848253.0
1.0,,,1.0,,6602999.0,848341.0
,1.0,,0.0,0.0,2740817.0,848343.0
0.0,,0.0,0.0,0.0,590998.0,848392.0
1.0,1.0,0.0,,1.0,650985.0,848536.0
,,1.0,,,651025.0,848576.0
0.0,0.0,0.0,0.0,0.0,5768893.0,848612.0
,0.0,,1.0,,651076.0,848623.0
