cid,canonical_smiles
6602638,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1
644510,O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3
1960010,CCN1C(=O)C(=C2SC(=S)N(CCCOC)C2=O)c2ccccc21
644675,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1
644851,Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1
644890,COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1
644968,COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1
645063,CC(=O)Nc1cccc(NC(=O)C2CCCN2C(=O)Nc2ccccc2C)c1
645164,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O
6602688,N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1
5768708,COc1ccc(C(=O)C2C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1
645323,COc1ccc(Nc2nc(N)nc(CSc3n[nH]c(-c4ccccc4)n3)n2)cc1
645448,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2
645569,CCc1cc2c(=O)[nH]cnc2s1
645573,CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC
645575,CCOc1cc(NC(=O)C2CCCCC2)c(OCC)cc1NC(=O)c1ccco1
645578,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1
5721248,NC(=NO)C1COc2ccccc2O1
645818,COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12
645911,CCc1nnc(SCc2ccc(OC(C)C)cc2)n1N
645929,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1
645965,Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1
6398898,O=C(CSc1nnc2c(n1)[nH]c1ccc(F)cc12)OCc1ccccc1
646118,CCc1c(C)nc2ncnn2c1NCCc1ccc(OC)cc1
646164,CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1
646293,Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1
646345,O=C(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2ccccc2F)CC1
646352,Cc1ccc(-n2c(SCC(=O)N3CCOCC3)nnc2-c2cccnc2)cc1
646353,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1
646395,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1
646427,FC(F)(F)c1ccc(N2CCN(c3cc(-c4ccccc4)nc4ncnn34)CC2)nc1
646472,CCOC(=O)c1cc2sc(C)cc2n1CC(=O)N1CCN(C(=O)c2ccco2)CC1
646515,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1
646597,CCC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2
6602690,CN(C)CCNC(=O)C(C(=O)c1ccc(F)cc1)n1ccccc1=O
646768,Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccc(F)cc3)CC2)n1
646780,COc1cc(-c2nnc(-c3ccc(N4CCOCC4)cc3)o2)cc(OC)c1OC
646897,CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O
646955,COC(=O)CN(c1ccccn1)S(=O)(=O)c1ccccc1
6398903,Cc1ccc(C)c(C(=O)C2C(=O)C(=O)N(CCN3CCOCC3)C2c2ccco2)c1
647114,Cn1c(SC2=CS(=O)(=O)c3ccccc32)nc2ccccc21
647166,CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1
647205,CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2
647262,Cc1ccc(-c2cnc(NC(=O)CCC(=O)N3CCCCC3)n2C)cc1
647302,Cn1c(-c2ccc3c(c2)OCO3)cnc1NCc1ccccc1
647430,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1
647498,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O
647585,Cc1cccc(NC(=O)CSc2n[nH]c(-c3ccncc3)n2)c1
647727,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(CN2CCOCC2)cc1
647748,Cc1ccccc1OCC(=O)Nc1ccc(N2CCN(C(=O)C(C)C)CC2)c(Cl)c1
6602522,O=C(CN1CCN(c2ncccn2)CC1)NCCC1=CCCCC1
647933,O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1
647937,CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1
647987,Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1
647996,Cc1cccc(Nc2nc3c(c(=O)n(C)c(=O)n3C)n2CC(O)CO)c1
648007,CCOC(=O)c1c(NC(=O)CSc2nnnn2C)sc(C)c1C
648068,CCOc1cccc(C2C(C(=O)c3ccc(C)o3)C(=O)C(=O)N2Cc2ccncc2)c1
648175,CCn1c(Cc2ccccc2)nnc1SCC(=O)NC(C)(C)C
648218,CCOC(=O)c1ccc(NC(=O)C2CCCO2)cc1
648236,CCC(C)(C)n1nnnc1C(C(C)C)N(CCCO)Cc1cc2cc(C)ccc2[nH]c1=O
648282,COc1cc2cc(CN(CCCO)S(=O)(=O)c3ccccc3Cl)c(=O)[nH]c2cc1OC
648407,CCc1nnc(NC(=O)CSc2nnc(COc3ccccc3)n2Cc2ccccc2)s1
648428,CC(C)Cn1c(-c2ccc(Cl)cc2)cnc1SCC(=O)N1CCOCC1
648481,CSc1nc2nc3c(c(=O)n2[nH]1)CN(Cc1ccccc1)CC3
6602523,CCc1cc2c(NCc3ccco3)ncnc2s1
648537,CCc1cc2c(NCCO)ncnc2s1
5769011,Cc1ccc(C)c(C(=O)C2C(=O)C(=O)N(Cc3cccnc3)C2c2cccnc2)c1
648642,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)C)n1
648672,Nc1n[nH]c(-c2ccc(Br)cc2)c1Cl
648708,Cc1nn(C)c(C)c1CNC(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)(F)F
648768,CN(CCC#N)CC(=O)Nc1ccc(NC(=O)CN(C)CCC#N)cc1
648771,CCCCn1c(SCC(=O)NC(C)(C)C)nnc1-c1ccco1
648836,Cc1ccc(C(c2nnnn2CC2CCCO2)N2CCN(C(=O)c3ccco3)CC2)cc1
648878,CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1
648947,COc1ccc(OC)c(NC(=O)C(CC(=O)O)NCc2ccco2)c1
649015,O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3
649054,CCCCOC(=O)CSc1nnc(-c2cc(OC)c(OC)c(OC)c2)o1
649153,COCCNC(=O)C(c1ccc(C)o1)N(CC1CCCO1)C(=O)Cn1nnc2ccccc21
649165,COc1ccc(OC)c(S(=O)(=O)N2CCC(C(=O)Nc3ccc(C)c(C)c3)CC2)c1
2859713,COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21
649283,COc1ccc(-c2noc(C3CCCN(C(=O)c4ccccc4OC)C3)n2)cc1OC
5768894,COCCN1C(=O)C(=O)C(C(=O)c2cccc(OC)c2)C1c1ccc(C)o1
649453,CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1cc(OC)ccc1OC
649650,COCc1nnc(NC(=O)CSc2ccc(C)cc2)s1
649754,Nc1ncc(-c2ccccc2)n1CC1CCCO1
649786,CCCCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C
649878,O=C(O)CCn1nnc(-c2cccs2)n1
649949,O=C(CSc1nc2ccccc2o1)Nc1ccccc1N1CCCCCC1
650002,Cn1c(=O)[nH]c(=O)c2c1nc(NCCCO)n2CCCc1ccccc1
6398918,CCOC(=O)CC(=O)CSc1nnc2c(n1)[nH]c1ccccc12
650023,O=C(NC1CCCC1)c1cccnc1N1CCCCCC1
135439099,O=C(Cc1cccs1)N1CCC(c2nc3c(nnn3Cc3ccccc3Cl)c(=O)[nH]2)CC1
650100,COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21
6602529,COc1cccc(C(=O)NC2CC3CCCC(C2)N3CC(=O)Nc2ccccc2)c1
650250,Cc1ccc(-c2csc(N3CCC(NS(=O)(=O)c4ccc5c(c4)OCCO5)CC3)n2)cc1
650341,COc1ccc(S(=O)(=O)N2CCC(NC(=O)Nc3ccc(C)cc3)CC2)cc1
650434,COc1ccc(-c2csc(NC(=O)Cn3nc(C)cc3C)n2)cc1
650486,Cn1c(CNC(=O)Nc2ccccc2)nnc1SCc1ccccc1
650558,O=C(CSc1nnc(CNc2ccccc2)o1)N1CCCc2ccccc21
650691,CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC(C)C)o1
6602999,CCOC(=O)C1Cc2c([nH]c3ccccc23)CN1
2740817,Cc1ccc(C(=O)C2CCNCC2)cc1
590998,CCOc1ccc(C(=O)N2CCCC2C(=O)O)cc1
650985,COc1ccc(CCNc2c(C)c(C)nc3ncnn23)cc1
651025,CCCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3cc(OC)ccc3OC)C2C1
5768893,COCCN1C(=O)C(=O)C(C(=O)c2cccc(OC)c2)C1c1ccco1
651076,CCC(=O)Nc1cccc(NC(=O)CSc2nnnn2Cc2ccccc2)c1
651086,COc1ccc(-c2cc(C(F)F)nc(-n3nc(C)cc3C)n2)cc1
651189,COc1ccc(Cl)cc1NC(=O)CN1C(=O)CSC1=O
651205,CCc1c(C)nc2c(C#N)c(C)[nH]n2c1=O
651207,CCOC(=O)N1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)CC1
135450659,Cc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(C(=O)Cc5cccs5)CC4)nc32)cc1
651338,CCC(=O)N(Cc1ccco1)c1nc(-c2ccccc2)cs1
651433,CC(C)c1ccc(-c2nnn(CCC(=O)O)n2)cc1
651587,O=C(OCCCN1CCCCC1)c1ccc(O)cc1
651589,Cc1cc(NC(=O)CCC(=O)N2CCC3(CC2)OCCO3)no1
651603,O=C(Nc1cnc2ccccc2c1)c1cccc(-n2cnnn2)c1
135450662,O=C1CN=C(c2cccs2)c2c(sc3c2CCCC3)N1
651769,O=C(CNC(=O)c1ccco1)OCc1c(F)cccc1Cl
651959,Clc1ccc(C(c2nnnn2C2CCCC2)N2CCN(Cc3ccncc3)CC2)cc1
652002,O=C(CSc1nnc(-c2cccnc2)o1)Oc1ccccc1
652325,CCOC(=O)CSc1n[nH]c(-c2cccnc2)n1
652521,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc(CN3CCCC3)cc2)cc1
652549,CC(C)C(C(=O)NCC1CCCO1)N(Cc1ccco1)C(=O)CNS(=O)(=O)c1ccc(F)cc1
611711,CCCCn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C
26880,CC(=O)Nc1ccc(-c2ccccc2)s1
652700,COCCNC(=O)COC(=O)c1nsc(Cl)c1Cl
652799,CCOc1ccc(-c2nnn(CC(=O)Nc3cc(OC)ccc3OC)n2)cc1OCC
652954,N#CC1=C(N)OC2=C(C(=O)CCC2)C12CCC1(CC2)OCCO1
6603138,O=C(CN1CCN(C2CCCCC2)CC1)NCCC1=CCCCC1
2054625,N#CC(=CN1CCOCC1)c1ccccc1
653097,COc1cc(C(=O)Nc2ccc3c(c2)OCCO3)c(-n2cnnn2)cc1OC
653213,O=C(O)c1cc(S(=O)(=O)NCC2CCCO2)ccc1Cl
653279,O=C(O)C1C2C=CC3(CN(Cc4ccccn4)C(=O)C13)O2
653412,Cn1c(SCC(=O)NCc2ccc3c(c2)OCO3)nnc1-c1cc2ccccc2cc1O
135417689,Cc1cccc(NC(=O)N(Cc2nc3ccccc3c(=O)[nH]2)C2CCCC2)c1
6603457,CCC(c1nnnn1CCOC)N1CCN(C(=O)c2ccco2)CC1
6603658,CC(C)(C)c1cc(C(=O)O)c(CN2CCCCC2)o1
653646,O=S(=O)(c1ccccc1)N1CCN(c2cc(-c3ccccc3)nc3ncnn23)CC1
653695,O=C(CSc1n[nH]c(-c2ccccc2O)n1)N1CCCc2ccccc21
653778,COc1ccccc1-n1c(SCC(=O)N2CCCC2)nc2cccnc21
653799,CCc1nnc2sc(-c3ccc(NC(=O)c4ccco4)cc3)nn12
627902,CN(C)c1ccc(N=Cc2nc(-c3ccccc3)oc2O)cc1
653914,COc1ccc(-c2nnn(CC(=O)N(CC(=O)NCCC(C)C)Cc3cccs3)n2)cc1OC
654042,Cc1n[nH]c(=O)nc1NCc1ccccc1Cl
654046,COc1ccc(N2CC(C(=O)OCC(=O)c3cccc(OC)c3)CC2=O)cc1
654068,COc1cccc(-c2cc3nc(-c4ccccc4)cc(N4CCC5(CC4)OCCO5)n3n2)c1
654078,CCn1c(SCc2ccc(C#N)cc2)nnc1-c1ccc(S(=O)(=O)N2CCCCC2)cc1
654182,CCOC(=O)Cc1cc(=O)n2[nH]c(C)c(-c3ccccc3)c2n1
6398932,CCOc1cccc(C(=O)C2C(=O)C(=O)N(Cc3ccco3)C2c2ccncc2)c1
654244,CC1CCN(C(=O)CSc2nc3cccnc3n2C)CC1
654257,CCOc1ccc(N2CC(C(=O)NC(C)C)CC2=O)cc1
654363,O=C(NC1CCCCC1)C(c1cccs1)N(Cc1cccs1)C(=O)c1ccco1
654435,O=C(CSc1nc2ccccc2o1)Nc1nc2ccccc2s1
5373216,COc1n[nH]c2nncnc12
654546,CCc1ccc(N2CC(C(=O)NC3=NCCS3)CC2=O)cc1
654623,COc1ccc(CNC(=O)CN(CC2CCCO2)C(=O)CNS(=O)(=O)c2ccccc2)cc1
654635,COc1cc(C2C(C(=O)c3ccc(C)o3)C(=O)C(=O)N2CCc2ccccc2)ccc1O
654761,Cc1ccc(C)n1C(Cc1ccccc1)C(=O)O
655127,Cc1cc(C)n(-c2nc(NC(C)C)nc(NC(C)C)n2)n1
655183,COc1ccccc1CN(Cc1cc2cc(C)cc(C)c2[nH]c1=O)Cc1nnnn1CC1CCCO1
655265,COc1ccc(OCc2nnc(SCC(=O)O)n2N)cc1
5768421,COCCCN1C(=O)C(=O)C(C(=O)c2ccc(OC(C)C)c(C)c2)C1c1ccncc1
655401,CCN(C1CCCCC1)S(=O)(=O)c1ccc(S(=O)(=O)NCc2ccncc2)cc1
655439,CCOC(=O)C1=C(C)NC(=O)NC1c1ccoc1
655575,CC(C)CCn1nnnc1C(c1ccc(F)cc1)N1CCN(C(=O)c2ccco2)CC1
586663,O=C(NCCc1ccc(Cl)cc1)c1ncn[nH]1
5769094,COC(=O)c1cc(C=Cc2ccccc2)on1
655776,C=CCn1c(NCc2ccccc2)nc2ccccc21
655785,CC(NC(=O)OCc1ccccc1)C(=O)NCC1CCCO1
655857,c1ccc(Cn2nnc3c(N4CCc5ccccc5C4)ncnc32)cc1
655866,COc1ccc(C(=O)NC2CC3CCCC(C2)N3CC(C)C)cc1OC
655926,COc1cccc(CC(C(=O)Nc2cc(C)ccc2C)c2nn[nH]n2)c1OC
655948,Cc1cc(N2CCN(c3nc4ccccc4s3)CC2)n2ncnc2n1
656017,CC(C)C(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2
